Frame,X,Y
1665,1477,135
1666,1469,130
1667,1462,123
1668,1456,116
1669,1450,110
1670,1445,103
1671,1440,101
1672,1437,107
1673,1433,113
1674,1429,118
1675,1425,122
1676,1422,122
1677,1419,118
1678,1416,114
1679,1414,111
1680,1413,106
1681,1413,103
1682,1414,107
1683,1414,111
1684,1416,114
1685,1418,118
1686,1421,121
1687,1424,123
1688,1428,121
1689,1433,118
1690,1438,114
1691,1443,110
1692,1448,105
1693,1454,102
1694,1461,106
1695,1468,110
1696,1476,113
1697,1485,115
1698,1494,118
1699,1504,121
1700,1514,123
1701,1525,126
1702,1537,128
1703,1549,131
1704,1561,133
1705,1575,134
1706,1589,135
1707,1602,136
1708,1607,137
1709,1602,138
1710,1590,139
1711,1577,140
1712,1565,140
1713,1558,137
1714,1553,128
1715,1550,119
1716,1548,110
1717,1546,101
1718,1546,97
1719,1546,99
1720,1548,107
1721,1550,115
1722,1553,123
1723,1557,131
1724,1562,138
1725,1568,145
1726,1575,153
1727,1581,159
1728,1589,166
1729,1596,173
1730,1597,179
1731,1591,186
1732,1584,193
1733,1578,199
1734,1574,205
1735,1575,211
1736,1578,219
1737,1580,226
1738,1584,233
1739,1588,239
1740,1593,245
1741,1593,252
1742,1589,258
1743,1587,265
1744,1585,271
1745,1583,278
1746,1584,284
1747,1585,290
1748,1586,296
1749,1588,303
1750,1591,309
1751,1593,315
1752,1590,322
1753,1587,328
1754,1586,334
1755,1587,340
1756,1589,346
1757,1592,353
1758,1593,359
1759,1590,365
1760,1588,371
1761,1588,378
1762,1589,385
1763,1591,391
1764,1593,397
1765,1591,404
1766,1590,411
1767,1589,417
1768,1590,423
1769,1592,430
1770,1593,437
1771,1591,443
1772,1591,449
1773,1591,456
1774,1592,462
1775,1593,468
1776,1591,475
1777,1591,481
1778,1591,487
1779,1592,494
1780,1593,501
1781,1592,507
1782,1591,514
1783,1591,521
1784,1593,528
1785,1592,534
1786,1590,541
1787,1590,548
1788,1592,555
1789,1594,561
1790,1592,568
1791,1590,575
1792,1590,581
1793,1589,589
1794,1589,596
1795,1591,603
1796,1593,610
1797,1592,618
1798,1592,625
1799,1592,633
1800,1593,641
1801,1593,649
1802,1592,657
1803,1593,666
1804,1594,675
1805,1593,684
1806,1593,693
1807,1594,703
1808,1594,713
1809,1593,723
1810,1593,733
1811,1594,744
1812,1593,755
1813,1594,767
1814,1594,779
1815,1593,791
1816,1593,803
1817,1594,817
1818,1594,830
1819,1593,843
1820,1593,857
1821,1592,872
1822,1592,886
1823,1592,901
1824,1593,917
1825,1594,933
1826,1593,949
1827,1592,965
1828,1589,978
1829,1585,982
1830,1580,976
1831,1576,963
1832,1573,949
1833,1570,934
1834,1563,927
1835,1551,929
1836,1540,933
1837,1531,938
1838,1526,941
1839,1521,945
1840,1517,949
1841,1512,954
1842,1508,960
1843,1506,967
1844,1503,971
1845,1501,968
1846,1500,962
1847,1499,956
1848,1498,951
1849,1497,947
1850,1496,943
1851,1496,940
1852,1497,938
1853,1497,938
1854,1497,936
1855,1498,936
1856,1497,936
1857,1496,937
1858,1495,937
1859,1494,938
1860,1492,940
1861,1491,942
1862,1490,945
1863,1490,947
1864,1492,950
1865,1493,953
1866,1496,957
1867,1498,962
1868,1501,967
1869,1505,970
